#,Company,Symbol,Weight,Price
1,Nvidia,NVDA,"0,0765","181,99"
2,Microsoft,MSFT,"0,0667","520,99"
3,"Apple Inc,",AAPL,"0,0597","233,28"
4,Amazon,AMZN,"0,0427","232,14"
5,Meta Platforms,META,"0,0339","783,78"
6,Broadcom,AVGO,"0,0252","310,59"
7,"Alphabet Inc, (Class A)",GOOGL,"0,0219","203,36"
8,"Alphabet Inc, (Class C)",GOOG,"0,0206","204,34"
9,"Tesla, Inc,",TSLA,"0,0186","334,28"
10,Berkshire Hathaway,"BRK,B","0,0177","477,33"
11,JPMorgan Chase,JPM,"0,0139","293,07"
12,Walmart,WMT,"0,0139","100,85"
13,Oracle Corporation,ORCL,"0,0118","244,32"
14,"Visa Inc,",V,"0,0115",345
15,Lilly (Eli),LLY,"0,0106","683,54"
16,Mastercard,MA,"0,0091","581,95"
17,Netflix,NFLX,"0,009","1234,48"
18,ExxonMobil,XOM,"0,0079","107,22"
19,Costco,COST,"0,0075","981,28"
20,Palantir Technologies,PLTR,"0,0074","180,96"
21,Johnson & Johnson,JNJ,"0,0073","175,13"
22,Home Depot (The),HD,"0,0069","400,02"
23,AbbVie,ABBV,"0,0062","204,9"
24,Procter & Gamble,PG,"0,0062","153,6"
25,Bank of America,BAC,"0,0061","47,6"
26,Chevron Corporation,CVX,"0,0054","154,9"
27,Coca-Cola Company (The),KO,"0,0052","69,53"
28,Advanced Micro Devices,AMD,"0,005","180,39"
29,GE Aerospace,GE,"0,0049","270,87"
30,T-Mobile US,TMUS,"0,0049","251,04"
31,Cisco,CSCO,"0,0047","69,42"
32,Philip Morris International,PM,"0,0044","165,31"
33,Wells Fargo,WFC,"0,0044","79,45"
34,UnitedHealth Group,UNH,"0,0042","270,76"
35,Morgan Stanley,MS,"0,0041","148,16"
36,Goldman Sachs,GS,"0,0039","744,63"
37,Abbott Laboratories,ABT,"0,0039","129,5"
38,Linde plc,LIN,"0,0039","477,08"
39,Salesforce,CRM,"0,0039","233,82"
40,IBM,IBM,"0,0038","237,65"
41,McDonald's,MCD,"0,0038","308,27"
42,American Express,AXP,"0,0037","306,47"
43,Walt Disney Company (The),DIS,"0,0036","116,27"
44,RTX Corporation,RTX,"0,0036","155,03"
45,"Merck & Co,",MRK,"0,0036","82,56"
46,AT&T,T,"0,0035","28,68"
47,PepsiCo,PEP,"0,0035","149,08"
48,Intuit,INTU,"0,0034","710,86"
49,"Caterpillar Inc,",CAT,"0,0034","416,33"
50,Uber,UBER,"0,0033","91,4"
51,Verizon,VZ,"0,0032","43,53"
52,Thermo Fisher Scientific,TMO,"0,0031","482,91"
53,BlackRock,BLK,"0,0031","1157,73"
54,Charles Schwab Corporation,SCHW,"0,0031","97,94"
55,Booking Holdings,BKNG,"0,0031","5476,99"
56,ServiceNow,NOW,"0,003","849,47"
57,Boeing,BA,"0,003","232,6"
58,Texas Instruments,TXN,"0,003","192,64"
59,Citigroup,C,"0,003","94,93"
60,S&P Global,SPGI,"0,003","563,15"
61,Arista Networks,ANET,"0,003","136,51"
62,Intuitive Surgical,ISRG,"0,0029","475,39"
63,Qualcomm,QCOM,"0,0029","157,6"
64,GE Vernova,GEV,"0,0029","623,96"
65,Amgen,AMGN,"0,0027","290,25"
66,Accenture,ACN,"0,0026","245,75"
67,Boston Scientific,BSX,"0,0026","103,21"
68,Applied Materials,AMAT,"0,0026","189,94"
69,Danaher Corporation,DHR,"0,0026","209,62"
70,TJX Companies,TJX,"0,0026","133,66"
71,NextEra Energy,NEE,"0,0026","71,93"
72,"Adobe Inc,",ADBE,"0,0026","349,03"
73,Gilead Sciences,GILD,"0,0025","119,09"
74,Progressive Corporation,PGR,"0,0025","251,23"
75,Stryker Corporation,SYK,"0,0025","377,6"
76,Pfizer,PFE,"0,0025","25,14"
77,Lowe's,LOW,"0,0024","253,1"
78,Capital One,COF,"0,0024","219,68"
79,Micron Technology,MU,"0,0024","124,8"
80,Eaton Corporation,ETN,"0,0024","355,78"
81,Honeywell,HON,"0,0024","218,05"
82,"Blackstone Inc,",BX,"0,0023","174,18"
83,Lam Research,LRCX,"0,0023","107,39"
84,Amphenol,APH,"0,0023","110,5"
85,Union Pacific Corporation,UNP,"0,0022","219,96"
86,KKR,KKR,"0,0022","146,16"
87,Deere & Company,DE,"0,0022","480,47"
88,KLA Corporation,KLAC,"0,0022","952,74"
89,Automatic Data Processing,ADP,"0,0021","303,25"
90,Comcast,CMCSA,"0,0021","32,98"
91,ConocoPhillips,COP,"0,0021","95,41"
92,Medtronic,MDT,"0,002","91,93"
93,Analog Devices,ADI,"0,002","234,79"
94,Palo Alto Networks,PANW,"0,002","174,29"
95,Synopsys,SNPS,"0,002","614,05"
96,"Nike, Inc,",NKE,"0,0019","76,19"
97,Altria,MO,"0,0019","65,63"
98,Chubb Limited,CB,"0,0019","275,26"
99,Welltower,WELL,"0,0019","162,1"
100,DoorDash,DASH,"0,0018","249,12"
101,Starbucks,SBUX,"0,0018","93,22"
102,CrowdStrike,CRWD,"0,0018","423,96"
103,Intercontinental Exchange,ICE,"0,0018","182,39"
104,Southern Company,SO,"0,0018","93,92"
105,Constellation Energy,CEG,"0,0018","328,25"
106,Lockheed Martin,LMT,"0,0018","436,04"
107,Marsh McLennan,MMC,"0,0018","206,98"
108,Vertex Pharmaceuticals,VRTX,"0,0017","389,78"
109,Intel,INTC,"0,0017","22,68"
110,CME Group,CME,"0,0017","275,27"
111,Prologis,PLD,"0,0017","105,98"
112,Bristol Myers Squibb,BMY,"0,0017","47,85"
113,Duke Energy,DUK,"0,0017","124,27"
114,Trane Technologies,TT,"0,0016","430,05"
115,American Tower,AMT,"0,0016","203,03"
116,Parker Hannifin,PH,"0,0016","743,62"
117,Cadence Design Systems,CDNS,"0,0016","347,53"
118,Dell Technologies,DELL,"0,0016","139,29"
119,Moody's Corporation,MCO,"0,0016","523,03"
120,HCA Healthcare,HCA,"0,0016","393,14"
121,Waste Management,WM,"0,0016","227,06"
122,Sherwin-Williams,SHW,"0,0016","365,34"
123,Cintas,CTAS,"0,0015","222,51"
124,O'Reilly Auto Parts,ORLY,"0,0015","101,68"
125,Royal Caribbean Group,RCL,"0,0015","313,5"
126,General Dynamics,GD,"0,0015","316,15"
127,CVS Health,CVS,"0,0015","66,7"
128,3M,MMM,"0,0014","157,85"
129,McKesson Corporation,MCK,"0,0014","672,79"
130,Northrop Grumman,NOC,"0,0014","583,32"
131,Coinbase Global,COIN,"0,0014","323,33"
132,Apollo Global Management,APO,"0,0014","140,17"
133,Mondelez International,MDLZ,"0,0014","61,65"
134,TransDigm Group,TDG,"0,0014","1414,51"
135,Ecolab,ECL,"0,0014","279,18"
136,Aon,AON,"0,0014","365,94"
137,Cigna,CI,"0,0013","290,17"
138,Motorola Solutions,MSI,"0,0013","461,96"
139,Illinois Tool Works,ITW,"0,0013","262,91"
140,Airbnb,ABNB,"0,0013","124,93"
141,PNC Financial Services,PNC,"0,0013","194,22"
142,Emerson Electric,EMR,"0,0013","134,29"
143,Equinix,EQIX,"0,0013","770,51"
144,United Parcel Service,UPS,"0,0013","88,76"
145,Newmont,NEM,"0,0013","68,43"
146,"Arthur J, Gallagher & Co,",AJG,"0,0013","292,59"
147,BNY Mellon,BK,"0,0013","103,65"
148,Fiserv,FI,"0,0013","133,82"
149,Republic Services,RSG,"0,0013","232,94"
150,"U,S, Bancorp",USB,"0,0013","46,64"
151,Marriott International,MAR,"0,0012","267,22"
152,Howmet Aerospace,HWM,"0,0012","176,65"
153,Williams Companies,WMB,"0,0012","57,28"
154,Johnson Controls,JCI,"0,0012","105,54"
155,"Vistra Corp,",VST,"0,0012","203,43"
156,Colgate-Palmolive,CL,"0,0012","84,66"
157,CSX Corporation,CSX,"0,0012","36,27"
158,Zoetis,ZTS,"0,0012","152,11"
159,AutoZone,AZO,"0,0012","4002,28"
160,Elevance Health,ELV,"0,0011","295,59"
161,PayPal,PYPL,"0,0011","69,25"
162,EOG Resources,EOG,"0,0011","119,71"
163,Air Products,APD,"0,0011","290,53"
164,Hilton Worldwide,HLT,"0,0011","270,33"
165,Norfolk Southern Railway,NSC,"0,0011","280,37"
166,Monster Beverage,MNST,"0,0011","63,82"
167,TE Connectivity,TEL,"0,0011","206,71"
168,Freeport-McMoRan,FCX,"0,001","42,33"
169,Autodesk,ADSK,"0,001","283,6"
170,Travelers Companies (The),TRV,"0,001","268,28"
171,American Electric Power,AEP,"0,001","112,79"
172,Regeneron Pharmaceuticals,REGN,"0,001","566,52"
173,Kinder Morgan,KMI,"0,001","26,73"
174,Fortinet,FTNT,"0,001","77,44"
175,United Rentals,URI,"0,001","919,74"
176,Axon Enterprise,AXON,"0,001","751,82"
177,"Workday, Inc,",WDAY,"0,001","221,16"
178,Truist Financial,TFC,"0,001","44,86"
179,NXP Semiconductors,NXPI,"0,001","229,32"
180,Chipotle Mexican Grill,CMG,"0,001","42,65"
181,Cencora,COR,"0,001","293,08"
182,Digital Realty,DLR,"0,001","166,23"
183,Roper Technologies,ROP,"0,001","525,21"
184,"Corning Inc,",GLW,"0,001","65,83"
185,Quanta Services,PWR,"0,001","378,1"
186,Aflac,AFL,"0,001","105,05"
187,Simon Property Group,SPG,"0,001","171,9"
188,Fastenal,FAST,"0,001","48,84"
189,Carrier Global,CARR,"0,001","65,77"
190,Cummins,CMI,"0,001","404,85"
191,Becton Dickinson,BDX,"0,001","194,45"
192,FedEx,FDX,"0,0009","232,66"
193,Allstate,ALL,"0,0009","208,18"
194,"Nasdaq, Inc,",NDAQ,"0,0009","95,42"
195,Sempra,SRE,"0,0009","82,26"
196,General Motors,GM,"0,0009","56,27"
197,Realty Income,O,"0,0009","57,74"
198,Idexx Laboratories,IDXX,"0,0009","653,26"
199,Dominion Energy,D,"0,0009","61,11"
200,Paccar,PCAR,"0,0009","99,27"
201,MetLife,MET,"0,0009","77,84"
202,L3Harris,LHX,"0,0009","271,09"
203,Paychex,PAYX,"0,0009","137,93"
204,Phillips 66,PSX,"0,0009","122,47"
205,Public Storage,PSA,"0,0008","280,79"
206,Marathon Petroleum,MPC,"0,0008","161,63"
207,Schlumberger,SLB,"0,0008","32,89"
208,Corteva,CTVA,"0,0008","71,83"
209,"D, R, Horton",DHI,"0,0008","163,5"
210,Ameriprise Financial,AMP,"0,0008","514,7"
211,Ross Stores,ROST,"0,0008","148,12"
212,Target Corporation,TGT,"0,0008","103,72"
213,Keurig Dr Pepper,KDP,"0,0008","34,67"
214,CBRE Group,CBRE,"0,0008","158,25"
215,ONEOK,OKE,"0,0008","74,62"
216,"W, W, Grainger",GWW,"0,0008","977,21"
217,"Block, Inc,",XYZ,"0,0008","75,95"
218,Kroger,KR,"0,0008","69,02"
219,Edwards Lifesciences,EW,"0,0008","77,65"
220,Copart,CPRT,"0,0008","46,96"
221,Garmin,GRMN,"0,0008","235,58"
222,eBay,EBAY,"0,0008","99,08"
223,Ford Motor Company,F,"0,0008","11,38"
224,Exelon,EXC,"0,0008","44,76"
225,Electronic Arts,EA,"0,0008","179,56"
226,American International Group,AIG,"0,0008","80,14"
227,Kimberly-Clark,KMB,"0,0008","133,35"
228,Occidental Petroleum,OXY,"0,0008","44,53"
229,MSCI,MSCI,"0,0008","566,28"
230,Datadog,DDOG,"0,0008","125,57"
231,Crown Castle,CCI,"0,0008","100,47"
232,Public Service Enterprise Group,PEG,"0,0007","86,82"
233,Take-Two Interactive,TTWO,"0,0007","233,55"
234,Xcel Energy,XEL,"0,0007","72,65"
235,Ametek,AME,"0,0007","184,86"
236,Baker Hughes,BKR,"0,0007","43,07"
237,Valero Energy,VLO,"0,0007","136,02"
238,ResMed,RMD,"0,0007","284,19"
239,Carnival,CCL,"0,0007","30,23"
240,Kenvue,KVUE,"0,0007","21,21"
241,Yum! Brands,YUM,"0,0007","146,22"
242,Diamondback Energy,FANG,"0,0007","140,13"
243,Entergy,ETR,"0,0007","90,42"
244,Monolithic Power Systems,MPWR,"0,0007","841,7"
245,Rockwell Automation,ROK,"0,0007","346,53"
246,Sysco,SYY,"0,0007","81,38"
247,Vulcan Materials Company,VMC,"0,0007","292,95"
248,Delta Air Lines,DAL,"0,0007","58,7"
249,Prudential Financial,PRU,"0,0006","106,85"
250,Live Nation Entertainment,LYV,"0,0006","162,02"
251,Fidelity National Information Services,FIS,"0,0006","71,68"
252,Verisk Analytics,VRSK,"0,0006","267,9"
253,CoStar Group,CSGP,"0,0006","87,93"
254,Las Vegas Sands,LVS,"0,0006","54,03"
255,Consolidated Edison,ED,"0,0006","102,7"
256,Hartford (The),HIG,"0,0006","131,38"
257,Martin Marietta Materials,MLM,"0,0006","610,1"
258,Hershey Company (The),HSY,"0,0006","180,57"
259,Cardinal Health,CAH,"0,0006","151,04"
260,Charter Communications,CHTR,"0,0006","262,72"
261,Targa Resources,TRGP,"0,0006","164,77"
262,Microchip Technology,MCHP,"0,0006","65,26"
263,Vici Properties,VICI,"0,0006","32,68"
264,WEC Energy Group,WEC,"0,0006","107,95"
265,"Xylem Inc,",XYL,"0,0006","141,85"
266,Otis Worldwide,OTIS,"0,0006","87,82"
267,Arch Capital Group,ACGL,"0,0006","91,26"
268,Humana,HUM,"0,0006","282,56"
269,Cognizant,CTSH,"0,0006","69,51"
270,PG&E Corporation,PCG,"0,0006","15,39"
271,Agilent Technologies,A,"0,0006","118,81"
272,Lennar,LEN,"0,0006","129,65"
273,GE HealthCare,GEHC,"0,0006","73,44"
274,Seagate Technology,STX,"0,0006","155,98"
275,Nucor,NUE,"0,0006","143,47"
276,Kraft Heinz,KHC,"0,0006","27,76"
277,Raymond James Financial,RJF,"0,0006","164,34"
278,Wabtec,WAB,"0,0006","190,92"
279,Willis Towers Watson,WTW,"0,0006","331,24"
280,EQT Corporation,EQT,"0,0006","51,75"
281,State Street Corporation,STT,"0,0006","113,48"
282,Estée Lauder Companies (The),EL,"0,0006","89,35"
283,IQVIA,IQV,"0,0006","188,59"
284,United Airlines Holdings,UAL,"0,0006","98,68"
285,Ingersoll Rand,IR,"0,0005","80,03"
286,Fair Isaac,FICO,"0,0005","1322,42"
287,Old Dominion,ODFL,"0,0005","150,6"
288,Tractor Supply,TSCO,"0,0005","59,63"
289,Brown & Brown,BRO,"0,0005","94,94"
290,Dexcom,DXCM,"0,0005","79,76"
291,DuPont,DD,"0,0005","73,42"
292,Ventas,VTR,"0,0005","67,54"
293,Equifax,EFX,"0,0005","248,89"
294,Broadridge Financial Solutions,BR,"0,0005","259,78"
295,M&T Bank,MTB,"0,0005","193,74"
296,NRG Energy,NRG,"0,0005","155,1"
297,Constellation Brands,STZ,"0,0005","169,18"
298,"Warner Bros, Discovery",WBD,"0,0005","11,86"
299,DTE Energy,DTE,"0,0005","139,99"
300,Extra Space Storage,EXR,"0,0005","136,75"
301,Fifth Third Bancorp,FITB,"0,0005","43,07"
302,Archer Daniels Midland,ADM,"0,0005","59,2"
303,Keysight Technologies,KEYS,"0,0005","164,41"
304,Hewlett Packard Enterprise,HPE,"0,0005","21,32"
305,"Rollins, Inc,",ROL,"0,0005","57,61"
306,American Water Works,AWK,"0,0005","142,99"
307,Kellanova,K,"0,0005","80,01"
308,Ameren,AEE,"0,0005","101,5"
309,PPL Corporation,PPL,"0,0005","37,08"
310,"W, R, Berkley Corporation",WRB,"0,0005","71,42"
311,Synchrony Financial,SYF,"0,0005","72,8"
312,Supermicro,SMCI,"0,0005","45,34"
313,Iron Mountain,IRM,"0,0005","91,48"
314,Mettler Toledo,MTD,"0,0005","1310,26"
315,AvalonBay Communities,AVB,"0,0005","189,28"
316,Veralto,VLTO,"0,0005","107,75"
317,Atmos Energy,ATO,"0,0005","166,09"
318,Western Digital,WDC,"0,0005","76,4"
319,General Mills,GIS,"0,0005","49,67"
320,Expedia Group,EXPE,"0,0004","208,22"
321,Cboe Global Markets,CBOE,"0,0004","243,99"
322,Teledyne Technologies,TDY,"0,0004","541,82"
323,Williams-Sonoma,WSM,"0,0004","206,24"
324,International Paper,IP,"0,0004","48,02"
325,"HP Inc,",HPQ,"0,0004","26,93"
326,PulteGroup,PHM,"0,0004","128,02"
327,FirstEnergy,FE,"0,0004","43,63"
328,PPG Industries,PPG,"0,0004","111,45"
329,CenterPoint Energy,CNP,"0,0004","38,36"
330,Dollar General,DG,"0,0004","113,7"
331,"PTC Inc,",PTC,"0,0004","208,5"
332,Verisign,VRSN,"0,0004","266,84"
333,Tyler Technologies,TYL,"0,0004","572,64"
334,"The Trade Desk, Inc,",TTD,"0,0004","50,61"
335,Dover Corporation,DOV,"0,0004","179,41"
336,Huntington Bancshares,HBAN,"0,0004","16,75"
337,Northern Trust,NTRS,"0,0004","127,96"
338,Eversource Energy,ES,"0,0004","65,59"
339,Equity Residential,EQR,"0,0004","63,6"
340,Steris,STE,"0,0004","245,62"
341,Cincinnati Financial,CINF,"0,0004","154,13"
342,Darden Restaurants,DRI,"0,0004","206,41"
343,"T, Rowe Price",TROW,"0,0004","109,1"
344,Dollar Tree,DLTR,"0,0004","113,78"
345,Ulta Beauty,ULTA,"0,0004","528,22"
346,Lululemon Athletica,LULU,"0,0004","195,03"
347,Jabil,JBL,"0,0004","217,76"
348,Hubbell Incorporated,HUBB,"0,0004","439,1"
349,SBA Communications,SBAC,"0,0004","216,8"
350,Regions Financial Corporation,RF,"0,0004","25,94"
351,Leidos,LDOS,"0,0004","179,25"
352,Smurfit WestRock,SW,"0,0004","43,84"
353,"NVR, Inc,",NVR,"0,0004","8191,16"
354,Expand Energy,EXE,"0,0004","94,79"
355,Church & Dwight,CHD,"0,0004","92,62"
356,LabCorp,LH,"0,0004","271,11"
357,Corpay,CPAY,"0,0004","318,38"
358,Insulet Corporation,PODD,"0,0004","313,42"
359,NetApp,NTAP,"0,0004","109,46"
360,CMS Energy,CMS,"0,0004","72,43"
361,CDW,CDW,"0,0004","165,08"
362,Edison International,EIX,"0,0004","56,02"
363,Devon Energy,DVN,"0,0004","33,8"
364,Global Payments,GPN,"0,0004","87,44"
365,Citizens Financial Group,CFG,"0,0004","48,96"
366,Lennox International,LII,"0,0004","599,91"
367,Texas Pacific Land Corporation,TPL,"0,0004","916,02"
368,ON Semiconductor,ON,"0,0004","51,28"
369,"Tapestry, Inc,",TPR,"0,0003","97,54"
370,Zimmer Biomet,ZBH,"0,0003","101,83"
371,Amcor,AMCR,"0,0003","8,77"
372,KeyCorp,KEY,"0,0003","18,28"
373,NiSource,NI,"0,0003","42,47"
374,Quest Diagnostics,DGX,"0,0003","178,3"
375,Tyson Foods,TSN,"0,0003","55,98"
376,"Trimble Inc,",TRMB,"0,0003","83,64"
377,GoDaddy,GDDY,"0,0003","143,42"
378,Loews Corporation,L,"0,0003","95,43"
379,Biogen,BIIB,"0,0003","134,71"
380,Gen Digital,GEN,"0,0003","31,75"
381,First Solar,FSLR,"0,0003","180,6"
382,Erie Indemnity,ERIE,"0,0003","367,24"
383,Genuine Parts Company,GPC,"0,0003","137,26"
384,Weyerhaeuser,WY,"0,0003","26,29"
385,McCormick & Company,MKC,"0,0003","70,13"
386,Steel Dynamics,STLD,"0,0003","127,04"
387,Invitation Homes,INVH,"0,0003","30,3"
388,Gartner,IT,"0,0003","244,23"
389,"F5, Inc,",FFIV,"0,0003","318,99"
390,Coterra,CTRA,"0,0003","23,95"
391,Halliburton,HAL,"0,0003","21,1"
392,Teradyne,TER,"0,0003","111,79"
393,Packaging Corporation of America,PKG,"0,0003","197,42"
394,Ralph Lauren Corporation,RL,"0,0003","293,17"
395,Jacobs Solutions,J,"0,0003","148,44"
396,West Pharmaceutical Services,WST,"0,0003","245,65"
397,Pentair,PNR,"0,0003","106,58"
398,Waters Corporation,WAT,"0,0003","293,5"
399,Principal Financial Group,PFG,"0,0003","77,93"
400,LyondellBasell,LYB,"0,0003","53,19"
401,Snap-on,SNA,"0,0003","326,15"
402,Incyte,INCY,"0,0003","86,37"
403,International Flavors & Fragrances,IFF,"0,0003","65,69"
404,Evergy,EVRG,"0,0003","72,92"
405,Alliant Energy,LNT,"0,0003","64,81"
406,Zebra Technologies,ZBRA,"0,0003","327,52"
407,"Dow Inc,",DOW,"0,0003","23,31"
408,Essex Property Trust,ESS,"0,0003","255,71"
409,Mid-America Apartment Communities,MAA,"0,0003","139,97"
410,Bunge Global,BG,"0,0003","81,48"
411,Expeditors International,EXPD,"0,0003","120,06"
412,Fortive,FTV,"0,0003","47,84"
413,Aptiv,APTV,"0,0003","74,15"
414,Southwest Airlines,LUV,"0,0003","30,62"
415,TKO Group Holdings,TKO,"0,0003","191,7"
416,Hormel Foods,HRL,"0,0003","28,34"
417,Masco,MAS,"0,0003","73,47"
418,Deckers Brands,DECK,"0,0003","103,41"
419,Domino's,DPZ,"0,0003","449,32"
420,Builders FirstSource,BLDR,"0,0003","137,97"
421,Best Buy,BBY,"0,0003","72,08"
422,Hologic,HOLX,"0,0003","68,01"
423,Clorox,CLX,"0,0003","121,3"
424,Omnicom Group,OMC,"0,0003","75,54"
425,Cooper Companies (The),COO,"0,0003","73,28"
426,Ball Corporation,BALL,"0,0003","53,64"
427,Allegion,ALLE,"0,0002","167,77"
428,Textron,TXT,"0,0002","80,51"
429,"C,H, Robinson",CHRW,"0,0002","121,32"
430,Kimco Realty,KIM,"0,0002","21,16"
431,Brown–Forman,"BF,B","0,0002","30,1"
432,FactSet,FDS,"0,0002","376,21"
433,Everest Group,EG,"0,0002","336,53"
434,"J,B, Hunt",JBHT,"0,0002","143,74"
435,Avery Dennison,AVY,"0,0002","177,25"
436,CF Industries,CF,"0,0002","85,16"
437,Franklin Resources,BEN,"0,0002","25,62"
438,Centene Corporation,CNC,"0,0002","26,91"
439,Regency Centers,REG,"0,0002","71,13"
440,Fox Corporation (Class B),FOX,"0,0002","54,44"
441,Alexandria Real Estate Equities,ARE,"0,0002","74,36"
442,Solventum,SOLV,"0,0002","72,96"
443,"UDR, Inc,",UDR,"0,0002","38,18"
444,Fox Corporation (Class A),FOXA,"0,0002","59,82"
445,IDEX Corporation,IEX,"0,0002","166,61"
446,Baxter International,BAX,"0,0002","24,37"
447,Viatris,VTRS,"0,0002","10,69"
448,Paycom,PAYC,"0,0002","218,79"
449,Nordson Corporation,NDSN,"0,0002","216,71"
450,Pool Corporation,POOL,"0,0002","328,1"
451,"J,M, Smucker Company (The)",SJM,"0,0002","111,51"
452,Healthpeak Properties,DOC,"0,0002","17,08"
453,Jack Henry & Associates,JKHY,"0,0002","159,92"
454,Generac,GNRC,"0,0002","197,51"
455,Stanley Black & Decker,SWK,"0,0002","74,47"
456,Wynn Resorts,WYNN,"0,0002","110,76"
457,Universal Health Services,UHS,"0,0002","178,91"
458,Camden Property Trust,CPT,"0,0002","105,93"
459,Hasbro,HAS,"0,0002","80,43"
460,News Corp (Class A),NWSA,"0,0002","29,79"
461,Globe Life,GL,"0,0002","137,97"
462,Skyworks Solutions,SWKS,"0,0002","74,59"
463,Norwegian Cruise Line Holdings,NCLH,"0,0002","24,34"
464,Host Hotels & Resorts,HST,"0,0002","15,98"
465,Pinnacle West,PNW,"0,0002","91,87"
466,Assurant,AIZ,"0,0002","212,67"
467,Akamai Technologies,AKAM,"0,0002","74,25"
468,Huntington Ingalls Industries,HII,"0,0002","267,84"
469,Revvity,RVTY,"0,0002","89,43"
470,Walgreens Boots Alliance,WBA,"0,0002","11,99"
471,Align Technology,ALGN,"0,0002","143,07"
472,Moderna,MRNA,"0,0002","26,63"
473,"BXP, Inc,",BXP,"0,0002","65,01"
474,Mosaic Company (The),MOS,"0,0002","32,07"
475,"A, O, Smith",AOS,"0,0002","72,36"
476,Molson Coors Beverage Company,TAP,"0,0002","51,22"
477,MGM Resorts,MGM,"0,0002","36,15"
478,Paramount Skydance Corp,PSKY,"0,0002","14,31"
479,Campbell Soup Company,CPB,"0,0002","32,34"
480,DaVita,DVA,"0,0002","133,94"
481,Albemarle Corporation,ALB,"0,0002","81,27"
482,Invesco,IVZ,"0,0002","21,26"
483,Interpublic Group of Companies (The),IPG,"0,0002","25,88"
484,Match Group,MTCH,"0,0002","38,83"
485,Conagra Brands,CAG,"0,0002","19,4"
486,AES Corporation,AES,"0,0002","12,91"
487,EPAM Systems,EPAM,"0,0002","160,21"
488,CarMax,KMX,"0,0001","57,94"
489,Molina Healthcare,MOH,"0,0001","159,02"
490,Dayforce,DAY,"0,0001","53,55"
491,Bio-Techne,TECH,"0,0001","53,62"
492,Henry Schein,HSIC,"0,0001","67,91"
493,LKQ Corporation,LKQ,"0,0001","31,58"
494,Federal Realty Investment Trust,FRT,"0,0001","93,55"
495,Mohawk Industries,MHK,"0,0001","128,66"
496,Lamb Weston,LW,"0,0001","54,5"
497,Eastman Chemical Company,EMN,"0,0001","66,13"
498,Charles River Laboratories,CRL,"0,0001",154
499,APA Corporation,APA,"0,0001","20,48"
500,MarketAxess,MKTX,"0,0001","187,9"
501,News Corp (Class B),NWS,"0,0001","34,4"
502,Caesars Entertainment,CZR,"0,0001","25,3"
503,Enphase Energy,ENPH,"0,0001","31,94"
